id,count_childs,count_name_parent_childs
1457110,1,1
1421684,19,35
1434101,0,0
5336,25,25
5414,1,2
7677,1,173
8440,19,117
13194,3,142
14650,1,1
14771,13,13
14883,3,5
15096,14,14
15104,19,19
15106,42,42
15112,12,12
15147,1,1
15193,2,2
15760,0,0
17092,10,5
5286,45,45
5639,5,5
7655,6,7
8946,0,117
10893,13,13
14503,21,21
14612,2,2
15414,11,81
15568,2,81
16183,1,1
16203,8,8
17005,1,1
17790,4,4
33460,23,23
33626,12,12
33724,2,2
33819,24,24
34387,2,2
43715,1,1
1092614,1,1
1095650,37,81
1104541,0,106
1170835,0,241
1172091,2,241
1111904,4,12
1141041,0,241
1060897,1,142
968783,1,1
971664,5,5
5029575,1,1
4781784,0,3
4075627,47,47
4105073,1,1
4107967,0,4
4160362,1,4
4774120,8,24
4165708,0,0
4169049,8,57
5009946,1,1
5000022,1,1
4990892,1,1
3515495,0,0
3981554,0,73
4965261,1,1
3664149,0,142
3425480,1,1
3655048,14,14
3656682,1,57
3773583,4,4
6307553,1,1
6313516,1,1
6025024,1,1
6091758,0,8
6011306,1,1
6115352,1,57
6119684,1,1
5255278,1,1
5461812,1,1
5328102,1,1
5325166,1,1
5401904,1,1
5390742,1,1
5173632,0,0
5151817,1,1
5553106,1,1
5679609,1,1
5795315,1,1
5801646,1,1
5773769,0,0
5708528,1,1
5708863,1,1
5918505,0,5
5946150,0,241
5820695,1,1
5882273,0,0
5575144,1,1
5766157,1,1
5761177,1,1
6449400,1,1
6384325,1,1
7735979,1,1
7764191,0,0
7649608,1,1
7583586,1,1
7321178,1,1
7502382,1,1
7786421,1,1
7845026,1,1
7851447,1,1
7870573,1,1
7929894,1,1
7990863,1,1
7927448,1,1
7835954,0,8
6533185,1,1
6505166,3,3
6550953,1,1
6695614,1,1
6689278,1,1
6842437,1,1
6820845,1,1
6632818,1,1
6613410,1,1
6616425,1,1
6964523,1,1
6980666,1,1
7122225,0,0
7095637,1,1
7224623,1,1
6759820,1,1
8303435,1,1
7010486,1,1
6475286,1,1
6484230,1,1
6922263,1,1
8742719,1,1
9148951,1,1
8624521,1,1
9088586,1,1
9101039,1,1
8421968,0,8
8411720,1,1
8838738,1,1
8511674,1,1
9243324,1,1
9014727,1,1
9188732,0,0
9198287,1,1
8457771,1,1
8599674,1,1
8530684,1,1
8794626,1,1
8795366,1,1
8795615,1,1
10194945,1,1
10194198,1,1
10194265,1,1
10194455,1,1
10194936,1,1
10179196,1,1
10176200,1,1
10208224,1,1
9974387,1,1
9917585,0,13
9931743,1,1
9277479,1,1
9267739,1,1
9732572,1,1
9697208,1,1
10065271,1,1
10071376,1,1
10021433,0,0
10041583,1,1
9602530,1,1
9545515,1,1
10131936,1,1
51692571,1,1
51225530,1,1
51338203,1,1
9540084,1,1
9627546,1,1
10632247,1,1
10580810,1,1
9870349,1,1
10252284,1,1
10252699,1,1
9893477,1,5
9843546,1,1
9833234,1,1
50608210,0,770
50257184,1,271
50424459,0,49
50628177,0,49
50628213,0,49
50608243,0,770
50453993,1,1
50452421,1,1
10236820,1,1
10364300,1,1
15256313,0,0
15194063,0,0
14989651,1,1
16515046,4,4
15653090,0,171
15666664,0,1551
15666802,0,0
15662752,0,406
15668652,0,4
15588966,0,0
16877061,0,212
16881990,0,10
16877361,0,241
15547407,0,10
15547459,0,10
15547695,0,0
15516189,1,3
15540303,1,1
15432288,0,406
15454061,14,212
10821807,0,122
17021222,0,72
17030922,0,0
17033026,0,168
50180308,0,324
50182501,0,8
50194223,1,1
50238269,0,4
50208870,1,1
50212700,1,1
50208268,0,10
50157968,1,122
18853492,0,118
18853497,0,118
18853502,0,118
18853509,0,118
18853517,0,118
18694339,1,1
18742141,0,0
18348413,0,271
18350436,0,24
18352299,0,16
18353070,0,2
50077500,0,271
50040390,0,72
50042739,0,168
50043337,0,72
18340435,0,0
18340701,0,0
16943352,1,1
17116520,0,19
18354113,0,0
18358783,0,142
18364359,0,57
17101169,0,142
16932485,0,73
16934509,0,73
16934475,0,73
16935414,0,73
50092560,1,1
17068062,5,5
18200913,1,1
18202438,1,1
18340785,0,8
51094093,1,1
51060098,0,182
50796283,0,16
51210477,1,1
51207777,0,12
50946295,1,1
51114065,1,1
51065699,1,1
51125858,0,73
51147927,1,1
51145750,1,1
50889072,0,182
50940173,4,4
50933012,74,74
50919827,0,173
51018661,1,1
51846609,1,1
9307011,1,1
51326889,1,1
51274600,2,12
10262697,1,1
10261568,1,1
10291372,0,241
50313334,0,182
50314996,0,49
10827402,2,2
10877788,1,1
10887566,1,1
17001309,1,1
61623637,1,1
61654939,1,1
51940450,0,770
52074998,1,1
61669865,0,12
