,0
articleLength,3662.4935400516797
countOfDistinctIndustry,5.617054263565891
countOfOccurence,3.0857881136950907
countOfOccurenceOfAliases,0.1421188630490956
countOfOccurenceOfNamePreserveList,0.14521963824289405
countOfSignificantStrings,0.7338501291989664
countOfUrlMatch,0.04186046511627907
countryMatchByOverlapScore,0.2826541274817137
directCityMatchScore,0.05136138613861386
directCountryMatchScore,0.07931034482758582
directStateMatchScore,0.03678160919540226
empCount,16463.282170542636
exactMatch,0.3333333333333333
fieldMatch,2.3333333333333335
isIndustry,0.05167958656330749
isProminentByItself,0.36537467700258397
isProminentByParent,0.12919896640826872
isPublic,0.19534883720930232
isUrlMatched,0.02428940568475452
stateMatchByOverlapScore,0.22244759972954503
sumOfIndustry,40.51317829457364
tickerMatch,0.07441860465116279
w2vScore,7.115922078755199
