,0
articleLength,3497.6801033591732
countOfDistinctIndustry,5.434625322997416
countOfOccurence,3.164341085271318
countOfOccurenceOfAliases,0.1338501291989664
countOfOccurenceOfNamePreserveList,0.13643410852713178
countOfSignificantStrings,0.5653746770025839
countOfUrlMatch,0.047028423772609816
countryMatchByOverlapScore,0.2723684210526316
directCityMatchScore,0.05471698113207547
directCountryMatchScore,0.08178947368421012
directStateMatchScore,0.037107776261937196
empCount,16498.04289405685
exactMatch,0.31317829457364343
fieldMatch,2.3131782945736434
isIndustry,0.05788113695090439
isProminentByItself,0.36589147286821705
isProminentByParent,0.13074935400516796
isPublic,0.19276485788113695
isUrlMatched,0.02635658914728682
stateMatchByOverlapScore,0.21582537517053021
sumOfIndustry,37.082687338501295
tickerMatch,0.07286821705426356
w2vScore,7.270950314608158
