,0
articleLength,3651.1731266149873
countOfDistinctIndustry,5.422739018087856
countOfOccurence,3.0387596899224807
countOfOccurenceOfAliases,0.11162790697674418
countOfOccurenceOfNamePreserveList,0.11317829457364341
countOfSignificantStrings,1.2661498708010337
countOfUrlMatch,0.04237726098191214
countryMatchByOverlapScore,0.28077527501309585
directCityMatchScore,0.053742802303262956
directCountryMatchScore,0.07763226820324741
directStateMatchScore,0.040409556313993115
empCount,16446.164857881136
exactMatch,0.317312661498708
fieldMatch,2.317829457364341
isIndustry,0.07493540051679587
isProminentByItself,0.37622739018087853
isProminentByParent,0.13850129198966407
isPublic,0.1974160206718346
isUrlMatched,0.02428940568475452
stateMatchByOverlapScore,0.22791808873719932
sumOfIndustry,35.082687338501295
tickerMatch,0.07493540051679587
w2vScore,6.924545306359691
