,0
articleLength,4449.035648604969
countOfDistinctIndustry,8.282633196718628
countOfOccurence,4.061569576362877
countOfOccurenceOfAliases,0.8407361401778796
countOfOccurenceOfNamePreserveList,0.8852624842119886
countOfSignificantStrings,14.493189380498295
countOfUrlMatch,0.3463489080237064
countryMatchByOverlapScore,0.2479423879179224
directCityMatchScore,0.22892967811143258
directCountryMatchScore,0.20046436020945213
directStateMatchScore,0.17301692460278711
empCount,60825.22882284823
exactMatch,0.47097521920267493
fieldMatch,0.47115957757842347
isIndustry,0.24311407216947525
isProminentByItself,0.4837603609804205
isProminentByParent,0.34497286401297567
isPublic,0.3949740226156897
isUrlMatched,0.16175514833887003
stateMatchByOverlapScore,0.3251248703343899
sumOfIndustry,148.88777188207192
tickerMatch,0.26083483837224114
w2vScore,11.250899913223698
